col1,col2,price,tex1,tex2,tex3
1136,-50138,-37675,gdgdfgert,fddgdfgdfg,hty
1141,-50360,-37842,sdf,fg,rtfd
1146,-50582,-38009,sdf,rfv,tr
1151,-50804,-38176,rtuy,sdrter,sdf
1156,-51026,-38343,sdfthis is ,sfds,sdf
1161,-51248,-38510,fh,hfd,ytr
1166,-51470,-38677,gdgdfgert,fddgdfgdfg,hty
1171,-51692,-38844,sdf,fg,rtfd
1176,-51914,-39011,sdf,rfv,tr
1181,-52136,-39178,rtuy,sdrter,sdf
1186,-52358,-39345,sdfthis is ,sfds,sdf
1191,-52580,-39512,fh,hfd,ytr
1196,-52802,-39679,gdgdfgert,fddgdfgdfg,hty
1201,-53024,-39846,sdf,fg,rtfd
1206,-53246,-40013,sdf,rfv,tr
1211,-53468,-40180,rtuy,sdrter,sdf
1216,-53690,-40347,sdfthis is ,sfds,sdf
1221,-53912,-40514,fh,hfd,ytr
1226,-54134,-40681,gdgdfgert,fddgdfgdfg,hty
1231,-54356,-40848,sdf,fg,rtfd
1236,-54578,-41015,sdf,rfv,tr
1241,-54800,-41182,rtuy,sdrter,sdf
1246,-55022,-41349,sdfthis is ,sfds,sdf
1251,-55244,-41516,fh,hfd,ytr
1256,-55466,-41683,gdgdfgert,fddgdfgdfg,hty
1261,-55688,-41850,sdf,fg,rtfd
1266,-55910,-42017,sdf,rfv,tr
1271,-56132,-42184,rtuy,sdrter,sdf
1276,-56354,-42351,sdfthis is ,sfds,sdf
1281,-56576,-42518,fh,hfd,ytr
1286,-56798,-42685,gdgdfgert,fddgdfgdfg,hty
1291,-57020,-42852,sdf,fg,rtfd
1296,-57242,-43019,sdf,rfv,tr
1301,-57464,-43186,rtuy,sdrter,sdf
1306,-57686,-43353,sdfthis is ,sfds,sdf
1311,-57908,-43520,fh,hfd,ytr
1316,-58130,-43687,gdgdfgert,fddgdfgdfg,hty
1321,-58352,-43854,sdf,fg,rtfd
1326,-58574,-44021,sdf,rfv,tr
1331,-58796,-44188,rtuy,sdrter,sdf
1336,-59018,-44355,sdfthis is ,sfds,sdf
1341,-59240,-44522,fh,hfd,ytr
1346,-59462,-44689,gdgdfgert,fddgdfgdfg,hty
1351,-59684,-44856,sdf,fg,rtfd
1356,-59906,-45023,sdf,rfv,tr
1361,-60128,-45190,rtuy,sdrter,sdf
1366,-60350,-45357,sdfthis is ,sfds,sdf
1371,-60572,-45524,fh,hfd,ytr
1376,-60794,-45691,gdgdfgert,fddgdfgdfg,hty
1381,-61016,-45858,sdf,fg,rtfd
1386,-61238,-46025,sdf,rfv,tr
1391,-61460,-46192,rtuy,sdrter,sdf
1396,-61682,-46359,sdfthis is ,sfds,sdf
1401,-61904,-46526,fh,hfd,ytr
1406,-62126,-46693,gdgdfgert,fddgdfgdfg,hty
1411,-62348,-46860,sdf,fg,rtfd
1416,-62570,-47027,sdf,rfv,tr
1421,-62792,-47194,rtuy,sdrter,sdf
1426,-63014,-47361,sdfthis is ,sfds,sdf
1431,-63236,-47528,fh,hfd,ytr
1436,-63458,-47695,gdgdfgert,fddgdfgdfg,hty
1441,-63680,-47862,sdf,fg,rtfd
1446,-63902,-48029,sdf,rfv,tr
1451,-64124,-48196,rtuy,sdrter,sdf
1456,-64346,-48363,sdfthis is ,sfds,sdf
1461,-64568,-48530,fh,hfd,ytr
1466,-64790,-48697,gdgdfgert,fddgdfgdfg,hty
1471,-65012,-48864,sdf,fg,rtfd
1476,-65234,-49031,sdf,rfv,tr
1481,-65456,-49198,rtuy,sdrter,sdf
1486,-65678,-49365,sdfthis is ,sfds,sdf
1491,-65900,-49532,fh,hfd,ytr
1496,-66122,-49699,gdgdfgert,fddgdfgdfg,hty
1501,-66344,-49866,sdf,fg,rtfd
1506,-66566,-50033,sdf,rfv,tr
1511,-66788,-50200,rtuy,sdrter,sdf
1516,-67010,-50367,sdfthis is ,sfds,sdf
1521,-67232,-50534,fh,hfd,ytr
1526,-67454,-50701,gdgdfgert,fddgdfgdfg,hty
1531,-67676,-50868,sdf,fg,rtfd
1536,-67898,-51035,sdf,rfv,tr
1541,-68120,-51202,rtuy,sdrter,sdf
1546,-68342,-51369,sdfthis is ,sfds,sdf
1551,-68564,-51536,fh,hfd,ytr
1556,-68786,-51703,gdgdfgert,fddgdfgdfg,hty
1561,-69008,-51870,sdf,fg,rtfd
1566,-69230,-52037,sdf,rfv,tr
1571,-69452,-52204,rtuy,sdrter,sdf
1576,-69674,-52371,sdfthis is ,sfds,sdf
1581,-69896,-52538,fh,hfd,ytr
1586,-70118,-52705,gdgdfgert,fddgdfgdfg,hty
1591,-70340,-52872,sdf,fg,rtfd
1596,-70562,-53039,sdf,rfv,tr
1601,-70784,-53206,rtuy,sdrter,sdf
1606,-71006,-53373,sdfthis is ,sfds,sdf
1611,-71228,-53540,fh,hfd,ytr
1616,-71450,-53707,gdgdfgert,fddgdfgdfg,hty
1621,-71672,-53874,sdf,fg,rtfd
1626,-71894,-54041,sdf,rfv,tr
1631,-72116,-54208,rtuy,sdrter,sdf
1636,-72338,-54375,sdfthis is ,sfds,sdf
1641,-72560,-54542,fh,hfd,ytr
1646,-72782,-54709,gdgdfgert,fddgdfgdfg,hty
1651,-73004,-54876,sdf,fg,rtfd
1656,-73226,-55043,sdf,rfv,tr
1661,-73448,-55210,rtuy,sdrter,sdf
1666,-73670,-55377,sdfthis is ,sfds,sdf
1671,-73892,-55544,fh,hfd,ytr
1676,-74114,-55711,gdgdfgert,fddgdfgdfg,hty
1681,-74336,-55878,sdf,fg,rtfd
1686,-74558,-56045,sdf,rfv,tr
1691,-74780,-56212,rtuy,sdrter,sdf
1696,-75002,-56379,sdfthis is ,sfds,sdf
1701,-75224,-56546,fh,hfd,ytr
1706,-75446,-56713,gdgdfgert,fddgdfgdfg,hty
1711,-75668,-56880,sdf,fg,rtfd
1716,-75890,-57047,sdf,rfv,tr
1721,-76112,-57214,rtuy,sdrter,sdf
1726,-76334,-57381,sdfthis is ,sfds,sdf
1731,-76556,-57548,fh,hfd,ytr
1736,-76778,-57715,gdgdfgert,fddgdfgdfg,hty
1741,-77000,-57882,sdf,fg,rtfd
1746,-77222,-58049,sdf,rfv,tr
1751,-77444,-58216,rtuy,sdrter,sdf
1756,-77666,-58383,sdfthis is ,sfds,sdf
1761,-77888,-58550,fh,hfd,ytr
1766,-78110,-58717,gdgdfgert,fddgdfgdfg,hty
1771,-78332,-58884,sdf,fg,rtfd
1776,-78554,-59051,sdf,rfv,tr
1781,-78776,-59218,rtuy,sdrter,sdf
1786,-78998,-59385,sdfthis is ,sfds,sdf
1791,-79220,-59552,fh,hfd,ytr
1796,-79442,-59719,gdgdfgert,fddgdfgdfg,hty
1801,-79664,-59886,sdf,fg,rtfd
1806,-79886,-60053,sdf,rfv,tr
1811,-80108,-60220,rtuy,sdrter,sdf
1816,-80330,-60387,sdfthis is ,sfds,sdf
1821,-80552,-60554,fh,hfd,ytr
1826,-80774,-60721,gdgdfgert,fddgdfgdfg,hty
1831,-80996,-60888,sdf,fg,rtfd
1836,-81218,-61055,sdf,rfv,tr
1841,-81440,-61222,rtuy,sdrter,sdf
1846,-81662,-61389,sdfthis is ,sfds,sdf
1851,-81884,-61556,fh,hfd,ytr
1856,-82106,-61723,gdgdfgert,fddgdfgdfg,hty
1861,-82328,-61890,sdf,fg,rtfd
1866,-82550,-62057,sdf,rfv,tr
1871,-82772,-62224,rtuy,sdrter,sdf
1876,-82994,-62391,sdfthis is ,sfds,sdf
1881,-83216,-62558,fh,hfd,ytr
1886,-83438,-62725,gdgdfgert,fddgdfgdfg,hty
1891,-83660,-62892,sdf,fg,rtfd
1896,-83882,-63059,sdf,rfv,tr
1901,-84104,-63226,rtuy,sdrter,sdf
1906,-84326,-63393,sdfthis is ,sfds,sdf
1911,-84548,-63560,fh,hfd,ytr
1916,-84770,-63727,gdgdfgert,fddgdfgdfg,hty
1921,-84992,-63894,sdf,fg,rtfd
1926,-85214,-64061,sdf,rfv,tr
1931,-85436,-64228,rtuy,sdrter,sdf
1936,-85658,-64395,sdfthis is ,sfds,sdf
1941,-85880,-64562,fh,hfd,ytr
1946,-86102,-64729,gdgdfgert,fddgdfgdfg,hty
1951,-86324,-64896,sdf,fg,rtfd
1956,-86546,-65063,sdf,rfv,tr
1961,-86768,-65230,rtuy,sdrter,sdf
1966,-86990,-65397,sdfthis is ,sfds,sdf
1971,-87212,-65564,fh,hfd,ytr
1976,-87434,-65731,gdgdfgert,fddgdfgdfg,hty
1981,-87656,-65898,sdf,fg,rtfd
1986,-87878,-66065,sdf,rfv,tr
1991,-88100,-66232,rtuy,sdrter,sdf
1996,-88322,-66399,sdfthis is ,sfds,sdf
2001,-88544,-66566,fh,hfd,ytr
2006,-88766,-66733,gdgdfgert,fddgdfgdfg,hty
2011,-88988,-66900,sdf,fg,rtfd
2016,-89210,-67067,sdf,rfv,tr
2021,-89432,-67234,rtuy,sdrter,sdf
2026,-89654,-67401,sdfthis is ,sfds,sdf
2031,-89876,-67568,fh,hfd,ytr
2036,-90098,-67735,gdgdfgert,fddgdfgdfg,hty
2041,-90320,-67902,sdf,fg,rtfd
2046,-90542,-68069,sdf,rfv,tr
2051,-90764,-68236,rtuy,sdrter,sdf
2056,-90986,-68403,sdfthis is ,sfds,sdf
2061,-91208,-68570,fh,hfd,ytr
2066,-91430,-68737,gdgdfgert,fddgdfgdfg,hty
2071,-91652,-68904,sdf,fg,rtfd
2076,-91874,-69071,sdf,rfv,tr
2081,-92096,-69238,rtuy,sdrter,sdf
2086,-92318,-69405,sdfthis is ,sfds,sdf
2091,-92540,-69572,fh,hfd,ytr
2096,-92762,-69739,gdgdfgert,fddgdfgdfg,hty
2101,-92984,-69906,sdf,fg,rtfd
2106,-93206,-70073,sdf,rfv,tr
2111,-93428,-70240,rtuy,sdrter,sdf
2116,-93650,-70407,sdfthis is ,sfds,sdf
2121,-93872,-70574,fh,hfd,ytr
2126,-94094,-70741,gdgdfgert,fddgdfgdfg,hty
2131,-94316,-70908,sdf,fg,rtfd
2136,-94538,-71075,sdf,rfv,tr
2141,-94760,-71242,rtuy,sdrter,sdf
2146,-94982,-71409,sdfthis is ,sfds,sdf
2151,-95204,-71576,fh,hfd,ytr
2156,-95426,-71743,gdgdfgert,fddgdfgdfg,hty
2161,-95648,-71910,sdf,fg,rtfd
2166,-95870,-72077,sdf,rfv,tr
2171,-96092,-72244,rtuy,sdrter,sdf
2176,-96314,-72411,sdfthis is ,sfds,sdf
2181,-96536,-72578,fh,hfd,ytr
2186,-96758,-72745,gdgdfgert,fddgdfgdfg,hty
2191,-96980,-72912,sdf,fg,rtfd
2196,-97202,-73079,sdf,rfv,tr
2201,-97424,-73246,rtuy,sdrter,sdf
2206,-97646,-73413,sdfthis is ,sfds,sdf
2211,-97868,-73580,fh,hfd,ytr
2216,-98090,-73747,gdgdfgert,fddgdfgdfg,hty
2221,-98312,-73914,sdf,fg,rtfd
2226,-98534,-74081,sdf,rfv,tr
2231,-98756,-74248,rtuy,sdrter,sdf
2236,-98978,-74415,sdfthis is ,sfds,sdf
2241,-99200,-74582,fh,hfd,ytr
2246,-99422,-74749,gdgdfgert,fddgdfgdfg,hty
2251,-99644,-74916,sdf,fg,rtfd
2256,-99866,-75083,sdf,rfv,tr
2261,-100088,-75250,rtuy,sdrter,sdf
2266,-100310,-75417,sdfthis is ,sfds,sdf
2271,-100532,-75584,fh,hfd,ytr
2276,-100754,-75751,gdgdfgert,fddgdfgdfg,hty
2281,-100976,-75918,sdf,fg,rtfd
2286,-101198,-76085,sdf,rfv,tr
2291,-101420,-76252,rtuy,sdrter,sdf
2296,-101642,-76419,sdfthis is ,sfds,sdf
2301,-101864,-76586,fh,hfd,ytr
2306,-102086,-76753,gdgdfgert,fddgdfgdfg,hty
2311,-102308,-76920,sdf,fg,rtfd
2316,-102530,-77087,sdf,rfv,tr
2321,-102752,-77254,rtuy,sdrter,sdf
2326,-102974,-77421,sdfthis is ,sfds,sdf
2331,-103196,-77588,fh,hfd,ytr
2336,-103418,-77755,gdgdfgert,fddgdfgdfg,hty
2341,-103640,-77922,sdf,fg,rtfd
2346,-103862,-78089,sdf,rfv,tr
2351,-104084,-78256,rtuy,sdrter,sdf
2356,-104306,-78423,sdfthis is ,sfds,sdf
2361,-104528,-78590,fh,hfd,ytr
2366,-104750,-78757,gdgdfgert,fddgdfgdfg,hty
2371,-104972,-78924,sdf,fg,rtfd
2376,-105194,-79091,sdf,rfv,tr
2381,-105416,-79258,rtuy,sdrter,sdf
2386,-105638,-79425,sdfthis is ,sfds,sdf
2391,-105860,-79592,fh,hfd,ytr
2396,-106082,-79759,gdgdfgert,fddgdfgdfg,hty
2401,-106304,-79926,sdf,fg,rtfd
2406,-106526,-80093,sdf,rfv,tr
2411,-106748,-80260,rtuy,sdrter,sdf
2416,-106970,-80427,sdfthis is ,sfds,sdf
2421,-107192,-80594,fh,hfd,ytr
2426,-107414,-80761,gdgdfgert,fddgdfgdfg,hty
2431,-107636,-80928,sdf,fg,rtfd
2436,-107858,-81095,sdf,rfv,tr
2441,-108080,-81262,rtuy,sdrter,sdf
2446,-108302,-81429,sdfthis is ,sfds,sdf
2451,-108524,-81596,fh,hfd,ytr
2456,-108746,-81763,gdgdfgert,fddgdfgdfg,hty
2461,-108968,-81930,sdf,fg,rtfd
2466,-109190,-82097,sdf,rfv,tr
2471,-109412,-82264,rtuy,sdrter,sdf
2476,-109634,-82431,sdfthis is ,sfds,sdf
2481,-109856,-82598,fh,hfd,ytr
2486,-110078,-82765,gdgdfgert,fddgdfgdfg,hty
2491,-110300,-82932,sdf,fg,rtfd
2496,-110522,-83099,sdf,rfv,tr
2501,-110744,-83266,rtuy,sdrter,sdf
2506,-110966,-83433,sdfthis is ,sfds,sdf
2511,-111188,-83600,fh,hfd,ytr
2516,-111410,-83767,gdgdfgert,fddgdfgdfg,hty
2521,-111632,-83934,sdf,fg,rtfd
2526,-111854,-84101,sdf,rfv,tr
2531,-112076,-84268,rtuy,sdrter,sdf
2536,-112298,-84435,sdfthis is ,sfds,sdf
2541,-112520,-84602,fh,hfd,ytr
2546,-112742,-84769,gdgdfgert,fddgdfgdfg,hty
2551,-112964,-84936,sdf,fg,rtfd
2556,-113186,-85103,sdf,rfv,tr
2561,-113408,-85270,rtuy,sdrter,sdf
2566,-113630,-85437,sdfthis is ,sfds,sdf
2571,-113852,-85604,fh,hfd,ytr
2576,-114074,-85771,gdgdfgert,fddgdfgdfg,hty
2581,-114296,-85938,sdf,fg,rtfd
2586,-114518,-86105,sdf,rfv,tr
2591,-114740,-86272,rtuy,sdrter,sdf
2596,-114962,-86439,sdfthis is ,sfds,sdf
2601,-115184,-86606,fh,hfd,ytr
2606,-115406,-86773,gdgdfgert,fddgdfgdfg,hty
2611,-115628,-86940,sdf,fg,rtfd
2616,-115850,-87107,sdf,rfv,tr
2621,-116072,-87274,rtuy,sdrter,sdf
2626,-116294,-87441,sdfthis is ,sfds,sdf
2631,-116516,-87608,fh,hfd,ytr
2636,-116738,-87775,gdgdfgert,fddgdfgdfg,hty
2641,-116960,-87942,sdf,fg,rtfd
2646,-117182,-88109,sdf,rfv,tr
2651,-117404,-88276,rtuy,sdrter,sdf
2656,-117626,-88443,sdfthis is ,sfds,sdf
2661,-117848,-88610,fh,hfd,ytr
2666,-118070,-88777,gdgdfgert,fddgdfgdfg,hty
2671,-118292,-88944,sdf,fg,rtfd
2676,-118514,-89111,sdf,rfv,tr
2681,-118736,-89278,rtuy,sdrter,sdf
2686,-118958,-89445,sdfthis is ,sfds,sdf
2691,-119180,-89612,fh,hfd,ytr
2696,-119402,-89779,gdgdfgert,fddgdfgdfg,hty
2701,-119624,-89946,sdf,fg,rtfd
2706,-119846,-90113,sdf,rfv,tr
2711,-120068,-90280,rtuy,sdrter,sdf
2716,-120290,-90447,sdfthis is ,sfds,sdf
2721,-120512,-90614,fh,hfd,ytr
2726,-120734,-90781,gdgdfgert,fddgdfgdfg,hty
2731,-120956,-90948,sdf,fg,rtfd
2736,-121178,-91115,sdf,rfv,tr
2741,-121400,-91282,rtuy,sdrter,sdf
2746,-121622,-91449,sdfthis is ,sfds,sdf
2751,-121844,-91616,fh,hfd,ytr
2756,-122066,-91783,gdgdfgert,fddgdfgdfg,hty
2761,-122288,-91950,sdf,fg,rtfd
2766,-122510,-92117,sdf,rfv,tr
2771,-122732,-92284,rtuy,sdrter,sdf
2776,-122954,-92451,sdfthis is ,sfds,sdf
2781,-123176,-92618,fh,hfd,ytr
2786,-123398,-92785,gdgdfgert,fddgdfgdfg,hty
2791,-123620,-92952,sdf,fg,rtfd
2796,-123842,-93119,sdf,rfv,tr
2801,-124064,-93286,rtuy,sdrter,sdf
2806,-124286,-93453,sdfthis is ,sfds,sdf
2811,-124508,-93620,fh,hfd,ytr
